"twitter account","LABEL","Valid","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"TheAtlantic","realnews","Yes","Politics, culture, business, science, technology, health, education, global affairs, more. Tweets by @CaitlinFrazier",114894,1533801,665,1025,"http://t.co/pI6FUBgQdl","The Atlantic","2009-04-27T15:41:54Z","FALSE","TRUE","TheAtlantic","Washington, D.C.","en",35773039,27457,"FALSE","http://pbs.twimg.com/profile_images/1268207868/twitter-icon-main_normal.png"
"politico","realnews","Yes","Nobody knows politics like POLITICO.",224998,3077298,9,1262,"https://t.co/BE5JFzmnFU","POLITICO","2007-10-08T00:29:38Z","FALSE","TRUE","politico","Washington, D.C.","en",9300262,35200,"FALSE","http://pbs.twimg.com/profile_images/677177503694237697/y6yTzWn6_normal.png"
"NPR","realnews","Yes","News. Arts & Life. Music. Everything and more from NPR.",117992,6974675,2175,72534,"http://t.co/SoL86ga4RI","NPR","2007-04-22T05:10:15Z","FALSE","TRUE","NPR","Washington, DC","en",5392522,63895,"FALSE","http://pbs.twimg.com/profile_images/722199003845304320/s2zwEoao_normal.jpg"
"TIME","realnews","Yes","Breaking news and current events from around the globe. Hosted by TIME staff. Tweet questions to our customer service team @TIMEmag_Service.",230712,13980856,611,846,"http://t.co/4aYbUuAeSh","TIME","2008-04-03T13:54:30Z","FALSE","TRUE","TIME",,"en",14293310,99363,"FALSE","http://pbs.twimg.com/profile_images/1700796190/Picture_24_normal.png"
"csmonitor","realnews","Yes","Trustworthy global coverage. Committed to providing unbiased, solution-oriented news since 1908. https://t.co/OdUjI0sFvI",248982,68100,12248,1992,"http://t.co/V5xHcIA1eK","CS Monitor","2008-05-21T15:10:08Z","FALSE","TRUE","csmonitor","Boston, MA","en",14857525,4433,"FALSE","http://pbs.twimg.com/profile_images/461555790759735296/y-W8v9y1_normal.png"
"latimes","realnews","Yes","News from Los Angeles and the world. Staffed by http://t.co/zb8HyvYyAJ editors.",168137,2844663,1871,10695,"http://t.co/JvbZRDfNzf","Los Angeles Times","2008-10-09T11:07:42Z","FALSE","TRUE","latimes","Los Angeles, CA","en",16664681,29470,"FALSE","http://pbs.twimg.com/profile_images/546329819919560704/XMWy2Z50_normal.jpeg"
"USATODAY","realnews","Yes","The latest news and most interesting stories from USA TODAY. News that's meant to be shared.",208701,3330591,1721,446,"http://t.co/7xDl0vVHSt","USA TODAY","2008-08-06T19:55:31Z","FALSE","TRUE","USATODAY","USA TODAY HQ, McLean, Va.","en",15754281,31365,"FALSE","http://pbs.twimg.com/profile_images/761954996808286209/S15RXwx6_normal.jpg"
"CNN","realnews","Yes","It’s our job to #GoThere and tell the most difficult stories. Come with us!

➡︎ For more breaking news updates follow @CNNBRK",131518,35064759,1462,1119,"http://t.co/IaghNW8Xm2","CNN","2007-02-09T00:35:02Z","FALSE","TRUE","CNN",,"en",759251,126612,"FALSE","http://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png"
"NBCNews","realnews","Yes","The leading source of global news and information for more than 75 years.    Facebook: https://t.co/oeDi7xACU7   Snapchat: https://t.co/suOkoNb0KE",112155,4715803,733,2951,"http://t.co/UXSP362YuW","NBC News","2008-03-18T23:19:17Z","FALSE","TRUE","NBCNews","New York, NY","en",14173315,34917,"FALSE","http://pbs.twimg.com/profile_images/721554521957138436/tTocueCd_normal.jpg"
"CBSNews","realnews","Yes","Your source for original reporting and trusted news.",127349,5800918,263,431,"https://t.co/VGut7r2Vg5","CBS News","2008-06-05T00:54:31Z","FALSE","TRUE","CBSNews","New York, NY","en",15012486,45412,"FALSE","http://pbs.twimg.com/profile_images/645966750941626368/d0Q4voGK_normal.jpg"
"ABC","realnews","Yes","See the whole picture with @ABC News. Join us on Facebook: https://t.co/ewMNZ54axm",168944,10444209,458,745,"https://t.co/v7GWW7ho1l","ABC News","2009-04-04T12:40:32Z","FALSE","TRUE","ABC","New York City / Worldwide","en",28785486,48745,"FALSE","http://pbs.twimg.com/profile_images/658688193651277824/Kv_cNNub_normal.png"
"NRO","realnews","Yes","Standing athwart history, yelling Stop. A magazine founded by the late William F. Buckley Jr. Snapchat & Instagram: NationalReview",55349,240729,650,1783,"https://t.co/s00ora6By7","National Review","2009-01-23T22:20:49Z","FALSE","TRUE","NRO","New York","en",19417492,5484,"FALSE","http://pbs.twimg.com/profile_images/471722478822100992/slV_OilN_normal.jpeg"
"weeklystandard","realnews","Yes","A magazine of news and opinion.

Subscribe here: https://t.co/DWtb5YnB14",47087,306002,533,15701,"http://t.co/lzVoLXsDB4","The Weekly Standard","2008-11-21T22:00:29Z","FALSE","TRUE","weeklystandard","Washington","en",17546958,4424,"FALSE","http://pbs.twimg.com/profile_images/661724758808088576/I5r3y9UD_normal.jpg"
"NewRepublic","realnews","Yes","Founded in 1914, the New Republic is a media organization dedicated to addressing today’s most critical issues. https://t.co/OpQ07u5Px8",76390,157327,1073,1472,"http://t.co/re8z4ATEzZ","New Republic","2009-10-15T19:15:18Z","FALSE","TRUE","NewRepublic","Washington, DC","en",82689705,5934,"FALSE","http://pbs.twimg.com/profile_images/631195731756388352/rXgYnC9S_normal.jpg"
"thenation","realnews","Yes","Instigating progress since 1865",59244,1131704,299,6520,"http://t.co/PpzoTPS9","The Nation","2007-03-22T22:34:57Z","FALSE","TRUE","thenation",,"en",1947301,15101,"FALSE","http://pbs.twimg.com/profile_images/750809171080151040/e0P0Yzbv_normal.jpg"
"googlenews","realnews","Yes","Breaking news, updates and tips from Google News.",8335,213086,0,31,"http://t.co/PSM783pTXt","Google News","2009-04-20T17:12:27Z","FALSE","TRUE","googlenews","Mountain View, CA","en",33584794,10363,"FALSE","http://pbs.twimg.com/profile_images/1843856587/news_icon_big_normal.png"
"MSNBC","realnews","Yes","The place for in-depth analysis, political commentary and informed perspectives. Questions? Tweet to @Farrashley. Find us on Snapchat: msnbc",114939,1704827,640,766,"https://t.co/5TAF6ijWwt","MSNBC","2007-03-29T13:15:41Z","FALSE","TRUE","MSNBC",,"en",2836421,19198,"FALSE","http://pbs.twimg.com/profile_images/814858612640202754/KCQAV5nf_normal.jpg"
"guardian","realnews","Yes","The need for independent journalism has never been greater. Become a Guardian supporter: https://t.co/EWg9aqA7PQ",344760,6494227,154,1112,"https://t.co/c53pnmnuIT","The Guardian","2009-11-05T23:49:19Z","FALSE","TRUE","guardian","London","en",87818409,53149,"FALSE","http://pbs.twimg.com/profile_images/822336375341125632/-PWnVYAF_normal.jpg"
"YahooNews","realnews","Yes","The official Twitter account for Yahoo News – breaking news and popular stories.",156733,1123822,308,2384,"http://t.co/5cyiaOOmiS","Yahoo News","2007-07-07T06:52:31Z","FALSE","TRUE","YahooNews","New York City","en",7309052,14533,"FALSE","http://pbs.twimg.com/profile_images/461884598608080896/-JRj7OdX_normal.jpeg"
"FoxNews","realnews","Yes","America’s Strongest Primetime Lineup Anywhere! Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos.",309188,14582456,0,439,"http://t.co/ZYG58XZtAC","Fox News","2007-03-17T19:01:26Z","FALSE","TRUE","FoxNews","U.S.A.","en",1367531,58688,"FALSE","http://pbs.twimg.com/profile_images/794654746342662144/hHnFe4Sx_normal.jpg"
"HuffPost","realnews","Yes","Know what's real.",484739,10161997,962,5708,"https://t.co/a7nyh5auNy","HuffPost","2008-04-24T14:07:28Z","FALSE","TRUE","HuffPost",,"en",14511951,84567,"FALSE","http://pbs.twimg.com/profile_images/856704940366016512/dFoU3zj9_normal.jpg"
"Slate","realnews","Yes","Politics, culture, technology, business, news, and commentary. Procrastinate better. We just turned 20.",276566,1736204,3763,595,"https://t.co/aXcqcA3s72","Slate","2008-06-19T01:08:29Z","FALSE","TRUE","Slate",,"en",15164565,32864,"FALSE","http://pbs.twimg.com/profile_images/785838392336678913/UP9SKq0X_normal.jpg"
